open,high,low,close,time
1.08985,1.08999,1.08977,1.08996,15.0
1.08997,1.09,1.08989,1.08991,30.0
1.08992,1.09008,1.08985,1.08986,45.0
1.08987,1.08994,1.08948,1.08963,60.0
1.08963,1.08964,1.08943,1.08946,75.0
1.08946,1.08947,1.08887,1.08931,90.0
1.0893,1.08947,1.08924,1.08941,105.0
1.08942,1.08942,1.08893,1.089,120.0
1.08899,1.08912,1.08888,1.08906,135.0
1.08907,1.0891,1.08877,1.08891,150.0
1.08891,1.08898,1.08879,1.0888,165.0
1.0888,1.08883,1.08856,1.08867,180.0
1.08869,1.08899,1.08863,1.08878,195.0
1.08878,1.0888,1.08868,1.08872,210.0
1.08872,1.089,1.08867,1.08881,225.0
1.08882,1.08897,1.08865,1.08865,240.0
1.08865,1.08902,1.08865,1.08896,255.0
1.08896,1.0894,1.08896,1.08921,270.0
1.08921,1.08929,1.08899,1.08918,285.0
1.0892,1.08922,1.08893,1.08906,300.0
1.08905,1.0893,1.08895,1.08929,315.0
1.0893,1.08932,1.08897,1.08897,330.0
1.08897,1.08918,1.08879,1.08892,345.0
1.08892,1.08897,1.08872,1.08891,360.0
1.08891,1.08906,1.0882,1.08821,375.0
1.0882,1.08847,1.08807,1.08846,390.0
1.08847,1.08863,1.08828,1.08858,405.0
1.08858,1.08883,1.0879,1.0885,420.0
1.08851,1.0894,1.08841,1.08896,435.0
1.08895,1.08914,1.08861,1.08877,450.0
1.08878,1.08915,1.0884,1.08852,465.0
1.08852,1.08899,1.0884,1.08899,480.0
1.08899,1.08925,1.08851,1.08855,495.0
1.08855,1.08927,1.08855,1.08918,510.0
1.08917,1.08941,1.08888,1.08915,525.0
1.08915,1.08954,1.08889,1.08931,540.0
1.08931,1.09004,1.0893,1.08974,555.0
1.08974,1.08997,1.08951,1.08973,570.0
1.08973,1.09017,1.08966,1.08973,585.0
1.08973,1.08974,1.0893,1.08932,600.0
1.08931,1.08999,1.08917,1.0899,615.0
1.08992,1.09044,1.08976,1.09022,630.0
1.09022,1.09056,1.09,1.09029,645.0
1.09027,1.09038,1.08993,1.09024,660.0
1.09023,1.09077,1.09015,1.09058,675.0
1.09058,1.09078,1.09048,1.0907,690.0
1.0907,1.09074,1.09,1.09011,705.0
1.09011,1.09029,1.08956,1.08985,720.0
1.08985,1.08992,1.08921,1.08982,735.0
1.08981,1.09,1.08932,1.08934,750.0
1.08934,1.0899,1.08892,1.08979,765.0
1.08979,1.08989,1.08941,1.08952,780.0
1.08954,1.09014,1.08941,1.09004,795.0
1.09003,1.09012,1.08923,1.08939,810.0
1.08938,1.08976,1.08881,1.08883,825.0
1.08883,1.09098,1.08845,1.09097,840.0
1.09096,1.09213,1.09088,1.09118,855.0
1.09117,1.09147,1.0903,1.09142,870.0
1.09142,1.09199,1.09121,1.09148,885.0
1.09148,1.09194,1.09128,1.09192,900.0
1.09193,1.09277,1.09189,1.09259,915.0
1.09259,1.09318,1.09259,1.09291,930.0
1.09292,1.09345,1.09291,1.09333,945.0
1.09332,1.09345,1.09305,1.09307,960.0
1.09307,1.09331,1.09275,1.0933,975.0
1.09331,1.09428,1.09324,1.09355,990.0
1.09355,1.09373,1.0932,1.09355,1005.0
1.09354,1.09393,1.09353,1.09375,1020.0
1.09374,1.09401,1.09345,1.09349,1035.0
1.0935,1.09355,1.09266,1.09276,1050.0
1.09275,1.093,1.09251,1.09282,1065.0
1.09281,1.09323,1.09281,1.09318,1080.0
1.09319,1.09346,1.09301,1.09331,1095.0
1.0933,1.0936,1.0933,1.09355,1110.0
1.09354,1.09364,1.09329,1.09336,1125.0
1.09335,1.09369,1.0933,1.09353,1140.0
1.09352,1.09367,1.0933,1.09357,1155.0
1.09355,1.09378,1.09342,1.09374,1170.0
1.09373,1.09383,1.09352,1.09357,1185.0
1.09356,1.09385,1.09352,1.09353,1200.0
1.09353,1.0936,1.0935,1.0935,1215.0
1.0935,1.09368,1.09347,1.09356,1230.0
1.09355,1.09373,1.09354,1.09365,1245.0
1.09365,1.09365,1.09309,1.0932,1260.0
1.09321,1.09328,1.09309,1.09309,1275.0
1.09309,1.09351,1.09293,1.09304,1290.0
1.09315,1.09324,1.0929,1.09292,1305.0
1.09284,1.09311,1.09277,1.09298,1320.0
