open,high,low,close,time
1.08985,1.09008,1.08948,1.08963,1547082000.0
1.08963,1.08964,1.08887,1.089,1547085600.0
1.08899,1.08912,1.08856,1.08867,1547089200.0
1.08869,1.089,1.08863,1.08865,1547092800.0
1.08865,1.0894,1.08865,1.08906,1547096400.0
1.08905,1.08932,1.08872,1.08891,1547100000.0
1.08891,1.08906,1.0879,1.0885,1547103600.0
1.08851,1.0894,1.0884,1.08899,1547107200.0
1.08899,1.08954,1.08851,1.08931,1547110800.0
1.08931,1.09017,1.0893,1.08932,1547114400.0
1.08931,1.09056,1.08917,1.09024,1547118000.0
1.09023,1.09078,1.08956,1.08985,1547121600.0
1.08985,1.09,1.08892,1.08952,1547125200.0
1.08954,1.09098,1.08845,1.09097,1547128800.0
1.09096,1.09213,1.0903,1.09192,1547132400.0
1.09193,1.09345,1.09189,1.09307,1547136000.0
1.09307,1.09428,1.09275,1.09375,1547139600.0
1.09374,1.09401,1.09251,1.09318,1547143200.0
1.09319,1.09369,1.09301,1.09353,1547146800.0
1.09352,1.09385,1.0933,1.09353,1547150400.0
1.09353,1.09373,1.09309,1.0932,1547154000.0
1.09321,1.09351,1.09277,1.09298,1547157600.0
1.09295,1.09328,1.09295,1.09316,1547161200.0
1.09316,1.0935,1.09297,1.09349,1549756800.0
1.0935,1.09413,1.09347,1.0939,1549760400.0
1.09391,1.094,1.09365,1.09366,1549764000.0
1.09365,1.09376,1.09327,1.09372,1549767600.0
1.09372,1.09379,1.09345,1.09366,1549771200.0
1.09366,1.09366,1.09314,1.09332,1549774800.0
1.09331,1.09369,1.09321,1.09324,1549778400.0
1.09326,1.09337,1.09222,1.09229,1549782000.0
1.0923,1.09265,1.09151,1.09151,1549785600.0
1.0915,1.0918,1.0904,1.09068,1549789200.0
1.09067,1.09191,1.09045,1.09186,1549792800.0
1.09186,1.09232,1.09152,1.09201,1549796400.0
1.09202,1.09349,1.09189,1.09286,1549800000.0
1.09284,1.09325,1.09155,1.09296,1549803600.0
1.09296,1.09495,1.09293,1.09454,1549807200.0
1.09451,1.09523,1.09371,1.09463,1549810800.0
1.09462,1.09583,1.0945,1.09512,1549814400.0
1.09512,1.09592,1.09457,1.09564,1549818000.0
1.09564,1.09636,1.09547,1.09587,1549821600.0
1.09587,1.09607,1.0956,1.09585,1549825200.0
1.09585,1.09619,1.09572,1.09617,1549828800.0
1.09618,1.09635,1.09573,1.09603,1549832400.0
