open,high,low,close,time
1.08985,1.09008,1.08856,1.08865,240.0
1.08865,1.0894,1.0879,1.08899,480.0
1.08899,1.09078,1.08851,1.08985,720.0
1.08985,1.09345,1.08845,1.09307,960.0
1.09307,1.09428,1.09251,1.09353,1200.0
1.09353,1.09373,1.09277,1.09349,1440.0
1.0935,1.09413,1.09327,1.09366,1680.0
1.09366,1.09369,1.09151,1.09151,1920.0
1.0915,1.09349,1.0904,1.09286,2160.0
1.09284,1.09583,1.09155,1.09512,2400.0
1.09512,1.09636,1.09457,1.09617,2640.0
1.09618,1.09639,1.09573,1.09634,2880.0
1.09634,1.09649,1.09549,1.09551,3120.0
1.09552,1.09589,1.09408,1.09434,3360.0
1.09435,1.09737,1.09431,1.09541,3600.0
1.09542,1.09992,1.09479,1.09887,3840.0
1.09887,1.09903,1.09653,1.09701,4080.0
1.09701,1.0976,1.09625,1.09749,4320.0
1.09751,1.09838,1.09749,1.0977,4560.0
1.0977,1.09781,1.09642,1.09718,4800.0
1.09718,1.09898,1.09704,1.09784,5040.0
1.09783,1.0999,1.0957,1.09749,5280.0
1.09747,1.09857,1.09722,1.09819,5520.0
1.09819,1.09838,1.09728,1.09816,5760.0
1.09816,1.09899,1.09777,1.09792,6000.0
1.09792,1.09838,1.09636,1.09712,6240.0
1.09712,1.09903,1.09619,1.09895,6480.0
1.09896,1.10004,1.09832,1.09833,6720.0
1.09832,1.09847,1.0969,1.09723,6960.0
1.09723,1.09731,1.09682,1.09724,7200.0
1.09725,1.09783,1.09648,1.09743,7440.0
1.09743,1.09851,1.09735,1.09818,7680.0
1.09818,1.09958,1.09795,1.09855,7920.0
1.09855,1.09926,1.09449,1.09491,8160.0
1.09492,1.09622,1.09409,1.09554,8400.0
1.09555,1.09612,1.09507,1.09594,8640.0
1.09595,1.09656,1.09548,1.09631,8880.0
1.0963,1.09837,1.09557,1.09817,9120.0
1.09816,1.099,1.09734,1.09791,9360.0
1.09791,1.09837,1.09715,1.09769,9600.0
1.09768,1.09819,1.09701,1.09736,9840.0
1.09735,1.09896,1.09678,1.09828,10080.0
1.09828,1.09932,1.09797,1.0988,10320.0
1.0988,1.10194,1.09831,1.10171,10560.0
1.10171,1.10337,1.10121,1.10268,10800.0
1.10269,1.10331,1.1002,1.10223,11040.0
1.10225,1.10235,1.10028,1.1007,11280.0
1.1007,1.10112,1.10041,1.10105,11520.0
1.10106,1.10178,1.10046,1.10157,11760.0
1.10157,1.10227,1.10089,1.10119,12000.0
1.10119,1.10624,1.10007,1.10513,12240.0
1.10514,1.10626,1.10255,1.10376,12480.0
1.10377,1.10516,1.10308,1.10393,12720.0
1.10393,1.104,1.1025,1.10296,12960.0
1.10298,1.10322,1.10241,1.10319,13200.0
1.10319,1.10353,1.10128,1.10177,13440.0
1.10178,1.10426,1.10178,1.1029,13680.0
1.1029,1.10319,1.10176,1.10244,13920.0
1.10243,1.10325,1.10232,1.10247,14160.0
1.10247,1.1029,1.10222,1.10222,14400.0
1.10222,1.1033,1.10214,1.10326,14640.0
1.10326,1.10459,1.10126,1.10277,14880.0
1.10277,1.10305,1.10025,1.10072,15120.0
1.10073,1.10445,1.09912,1.10333,15360.0
1.10332,1.10381,1.10153,1.10307,15600.0
1.10307,1.10352,1.10266,1.10321,15840.0
1.10321,1.10331,1.10238,1.10303,16080.0
1.10304,1.10599,1.10286,1.10336,16320.0
1.10338,1.1047,1.10223,1.1026,16560.0
1.1026,1.10771,1.10229,1.10746,16800.0
1.10747,1.10855,1.10647,1.1074,17040.0
1.1074,1.10773,1.10709,1.10738,17280.0
1.10739,1.10846,1.10739,1.10762,17520.0
1.10762,1.10864,1.1065,1.10783,17760.0
1.10783,1.11398,1.10721,1.11126,18000.0
1.11127,1.11302,1.11014,1.11239,18240.0
1.11238,1.11322,1.11203,1.11236,18480.0
1.11236,1.11283,1.11228,1.1126,18720.0
1.11259,1.11308,1.11212,1.11266,18960.0
1.11266,1.11287,1.11145,1.11227,19200.0
1.11227,1.11465,1.11212,1.11437,19440.0
1.11438,1.11591,1.11351,1.11476,19680.0
1.11474,1.11661,1.11464,1.11642,19920.0
1.11641,1.11719,1.11494,1.11578,20160.0
1.11578,1.11633,1.11542,1.11597,20400.0
1.11597,1.1172,1.11495,1.11719,20640.0
1.1172,1.11793,1.11607,1.11732,20880.0
1.11732,1.11732,1.11386,1.11552,21120.0
1.1155,1.11566,1.11449,1.11479,21360.0
1.11479,1.11537,1.11448,1.11507,21600.0
1.11506,1.11568,1.11474,1.11503,21840.0
1.11504,1.11567,1.11422,1.1143,22080.0
1.11429,1.11481,1.11284,1.11284,22320.0
1.11284,1.11458,1.11229,1.11396,22560.0
1.11397,1.1154,1.11176,1.11313,22800.0
1.11313,1.11314,1.1123,1.1126,23040.0
1.1126,1.11307,1.11158,1.11195,23280.0
1.11195,1.11286,1.11179,1.11259,23520.0
1.11259,1.11259,1.11061,1.11206,23760.0
1.11207,1.11251,1.11117,1.11193,24000.0
1.11194,1.11405,1.11154,1.11308,24240.0
1.11308,1.11334,1.11289,1.11311,24480.0
1.11309,1.11417,1.1129,1.11358,24720.0
1.11358,1.11627,1.11276,1.11306,24960.0
1.11307,1.11353,1.11201,1.11277,25200.0
1.11278,1.11537,1.1093,1.11019,25440.0
1.11019,1.11109,1.10981,1.11036,25680.0
1.11035,1.11073,1.1101,1.11031,25920.0
1.1103,1.11052,1.11006,1.11026,26160.0
1.11026,1.1121,1.1101,1.11188,26400.0
1.11188,1.11229,1.11059,1.11065,26640.0
1.11065,1.11069,1.10766,1.10781,26880.0
1.1078,1.10825,1.10729,1.10788,27120.0
1.1079,1.10844,1.10773,1.10828,27360.0
1.10827,1.10833,1.1076,1.10833,27600.0
1.10834,1.10966,1.10816,1.10934,27840.0
1.10935,1.11065,1.10883,1.10994,28080.0
1.10994,1.11013,1.10842,1.10937,28320.0
1.10937,1.11032,1.1093,1.10998,28560.0
1.10998,1.11019,1.10966,1.10982,28800.0
1.10983,1.11025,1.10913,1.1095,29040.0
1.10949,1.10961,1.10827,1.10847,29280.0
1.10846,1.10911,1.10735,1.10826,29520.0
1.10826,1.11183,1.10825,1.11145,29760.0
1.11145,1.11148,1.11049,1.111,30000.0
1.11101,1.11142,1.11069,1.11072,30240.0
1.11071,1.11123,1.11063,1.11092,30480.0
1.11093,1.11234,1.11075,1.11152,30720.0
1.11153,1.1127,1.11069,1.11145,30960.0
1.11147,1.11255,1.11021,1.11244,31200.0
1.11243,1.11516,1.10801,1.11476,31440.0
1.11476,1.11579,1.11462,1.11573,31680.0
1.11574,1.11704,1.11551,1.11687,31920.0
1.11687,1.11698,1.11573,1.11596,32160.0
1.11596,1.11755,1.11442,1.11608,32400.0
1.11609,1.1164,1.11314,1.11471,32640.0
1.11473,1.11542,1.11404,1.11501,32880.0
